Ciudad,OC Fecha,No. OC,DCTO.TIPO,DCTO.PJE,RUT,Razón Social,Fecha Entrega,Bodega,Item,Código,Nombre,Descto.,Cantidad,Cant. Recibida,Transito,Prec.Unit.,Línea de Negocio
P. Montt                 ,2025-04-03 00:00:00,74004,1,0,,,2025-04-04 00:00:00,B1  ,2,3810194                       ,CINTA ENMASCARAR USATAPE VERDE 18MX20MT      ,0,2,0,2,436,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74004,1,0,,,2025-04-04 00:00:00,B1  ,3,3810193                       ,CINTA ENMASCARAR USATAPE AMARILLO 18MX20MT   ,0,1,0,1,436,LIBRERÍA                                
P. Montt                 ,2025-04-03 00:00:00,74004,1,0,,,2025-04-04 00:00:00,B1  ,4,3810192                       ,CINTA ENMASCARAR USATAPE ROJO 18MX20MT,0,4,0,4,436,LIBRERÍA                                
P. Montt                 ,2025-04-04 00:00:00,74012,1,0,,,2025-04-05 00:00:00,B1  ,1,3813160                       ,LAPIZ BOLIGRAFO TORRE AZUL 1.0 MM            ,0,12,0,12,74,LIBRERÍA                                
P. Montt                 ,2025-04-04 00:00:00,74012,1,0,,,2025-04-05 00:00:00,B1  ,2,3805467                       ,CORCHETE 23/12 RAPID 1000UN                  ,0,5,0,5,734,LIBRERÍA                                
P. Montt                 ,2025-04-04 00:00:00,74012,1,0,,,2025-04-05 00:00:00,B1  ,3,3814858                       ,MARCADOR DOM PIZARRA PUNTA REDONDA AZUL,0,1,0,1,290,LIBRERÍA                                
P. Montt                 ,2025-04-04 00:00:00,74012,1,0,,,2025-04-05 00:00:00,B1  ,4,3814859                       ,MARCADOR DOM PIZARRA PUNTA REDONDA NEGRO,0,1,0,1,290,LIBRERÍA                                
P. Montt                 ,2025-04-04 00:00:00,74012,1,0,,,2025-04-05 00:00:00,B1  ,5,2220401                       ,ARCH AUCA OFICIO ANCHO                       ,0,5,0,5,1183,LIBRERÍA                                
P. Montt                 ,2025-04-04 00:00:00,74012,1,0,,,2025-04-05 00:00:00,B1  ,6,4003280                       ,SOBRE JORDAN SACO REVISTA BLANCO 80GR,0,10,0,10,69,LIBRERÍA                                
P. Montt                 ,2025-04-04 00:00:00,74012,1,0,,,2025-04-05 00:00:00,B1  ,7,3813247                       ,CORRECTOR TORRE CINTA STAND UP 5MM AZUL 6MT  ,0,6,0,6,568,LIBRERÍA                                
P. Montt                 ,2025-04-04 00:00:00,74013,1,0,,,2025-04-05 00:00:00,B1  ,1,4502674                       ,ETIQUETA ADETEC INK-JET BLANCA 106X70MM 25HJ ,0,1,0,1,2291,LIBRERÍA                                
P. Montt                 ,2025-04-07 00:00:00,74016,1,0,,,2025-04-08 00:00:00,B1  ,1,3810195                       ,CINTA ENMASCARAR USATAPE AZUL 18MX20MT       ,0,5,0,5,436,LIBRERÍA                                
P. Montt                 ,2025-04-07 00:00:00,74016,1,0,,,2025-04-08 00:00:00,B1  ,2,3810192                       ,CINTA ENMASCARAR USATAPE ROJO 18MX20MT,0,5,0,5,436,LIBRERÍA                                
P. Montt                 ,2025-04-07 00:00:00,74016,1,0,,,2025-04-08 00:00:00,B1  ,3,3810194                       ,CINTA ENMASCARAR USATAPE VERDE 18MX20MT      ,0,10,0,10,436,LIBRERÍA                                
P. Montt                 ,2025-04-07 00:00:00,74016,1,0,,,2025-04-08 00:00:00,B1  ,4,3810193                       ,CINTA ENMASCARAR USATAPE AMARILLO 18MX20MT   ,0,10,0,10,436,LIBRERÍA                                
P. Montt                 ,2025-04-07 00:00:00,74016,1,0,,,2025-04-08 00:00:00,B1  ,5,3814846                       ,DESTACADOR DOM TB AMARILLO,0,2,0,2,340,LIBRERÍA                                
P. Montt                 ,2025-04-07 00:00:00,74016,1,0,,,2025-04-08 00:00:00,B1  ,6,3814850                       ,DESTACADOR DOM TB VERDE,0,2,0,2,340,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74021,1,0,,,2025-04-09 00:00:00,B1  ,1,2245326                       ,PAPEL FOTOCOPIA EQUALIT A4 500HJ,0,4,0,4,3425,PAPELES OFICINA                         
P. Montt                 ,2025-04-08 00:00:00,74022,1,0,,,2025-04-09 00:00:00,B1  ,1,3813171                       ,C.COLLEGE COLON LISO 7MM 100HJ               ,0,15,0,15,525,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74022,1,0,,,2025-04-09 00:00:00,B1  ,2,7771156                       ,GOMA BORRAR PROARTE MIGA 36 SOFT             ,0,50,0,50,71,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74022,1,0,,,2025-04-09 00:00:00,B1  ,3,3813160                       ,LAPIZ BOLIGRAFO TORRE AZUL 1.0 MM            ,0,40,0,40,74,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74022,1,0,,,2025-04-09 00:00:00,B1  ,4,3813955                       ,ESPIRAL DIAZOL 10MM NEGRO 100UN,0,1,0,1,4150,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74022,1,0,,,2025-04-09 00:00:00,B1  ,5,3813355                       ,MICA LISA DIAZOL CARTA 200MIC NATURAL 100 UND,0,1,0,1,5490,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74022,1,0,,,2025-04-09 00:00:00,B1  ,6,7770878                       ,LAPIZ GRAFITO PROARTE HEXAGONAL C/GOMA Nº2 HB,0,20,0,20,87,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74022,1,0,,,2025-04-09 00:00:00,B1  ,7,6542139                       ,BOTELLA EPSON T544120 BLACK 4.500 PAG. 65ML,0,1,0,1,5865,SUMINISTROS COMPUTACIONALES             
P. Montt                 ,2025-04-08 00:00:00,74024,1,0,,,2025-04-09 00:00:00,B1  ,1,3808060                       ,PLASTIFICADORA FELLOWES L125 MIC CARTA-OFICIO,0,1,0,1,34130,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74024,1,0,,,2025-04-09 00:00:00,B1  ,2,3813967                       ,PLASTICO P/TERMOLAMINAR CARTA 0.5MM 100UN,0,1,0,1,8720,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74024,1,0,,,2025-04-09 00:00:00,B1  ,3,7001294                       ,CINTA EMBALAJE TRANSPARENTE 40X48MM          ,0,6,0,6,290,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74026,1,0,,,2025-04-09 00:00:00,B1  ,1,7275083                       ,LIMPIAVIDRIOS SCOTCH BRITE C/MANGO CORTO     ,0,1,0,1,5068,ASEO                                    
P. Montt                 ,2025-04-08 00:00:00,74026,1,0,,,2025-04-09 00:00:00,B1  ,2,3202507                       ,REPUESTO TINTA PILOT V BOARD MASTER NEGRO,0,8,0,8,684,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74026,1,0,,,2025-04-09 00:00:00,B1  ,3,3504718                       ,MARCADOR ARTLINE PERMANENTE 70 P/REDONDA NEGR,0,10,0,10,727,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74027,1,0,,,2025-04-09 00:00:00,B1  ,1,7275083                       ,LIMPIAVIDRIOS SCOTCH BRITE C/MANGO CORTO     ,0,1,0,1,5068,ASEO                                    
P. Montt                 ,2025-04-08 00:00:00,74027,1,0,,,2025-04-09 00:00:00,B1  ,2,3202507                       ,REPUESTO TINTA PILOT V BOARD MASTER NEGRO,0,8,0,8,684,LIBRERÍA                                
P. Montt                 ,2025-04-08 00:00:00,74027,1,0,,,2025-04-09 00:00:00,B1  ,3,3504718                       ,MARCADOR ARTLINE PERMANENTE 70 P/REDONDA NEGR,0,10,0,10,727,LIBRERÍA                                
P. Montt                 ,2025-04-10 00:00:00,74042,1,0,,,2025-04-11 00:00:00,B1  ,1,2241001                       ,PAPEL FOTOCOPIA EQUALIT CARTA 500HJ,0,30,0,30,2990,PAPELES OFICINA                         
P. Montt                 ,2025-04-10 00:00:00,74042,1,0,,,2025-04-11 00:00:00,B1  ,2,7776871                       ,ACCO CLIP ISOFIT METALICO PLATEADO 50UN      ,0,2,0,2,850,LIBRERÍA                                
P. Montt                 ,2025-04-10 00:00:00,74042,1,0,,,2025-04-11 00:00:00,B1  ,3,2220350                       ,ARCH TORRE OFICIO ANCHO BURDEO 518H          ,0,4,0,4,1826,LIBRERÍA                                
P. Montt                 ,2025-04-10 00:00:00,74042,1,0,,,2025-04-11 00:00:00,B1  ,4,2220351                       ,ARCH TORRE OFICIO ANGOSTO BURDEO 515H        ,0,4,0,4,1839,LIBRERÍA                                
P. Montt                 ,2025-04-10 00:00:00,74042,1,0,,,2025-04-11 00:00:00,B1  ,5,7001161                       ,SCOTCH SELLOCINTA 18X30MM CRISTAL            ,0,4,0,4,191,LIBRERÍA                                
P. Montt                 ,2025-04-10 00:00:00,74042,1,0,,,2025-04-11 00:00:00,B1  ,6,2226835                       ,SOBRE JORDAN SACO 1/1 OFICIO BLANCO 80GR25X36,0,20,0,20,73,LIBRERÍA                                
P. Montt                 ,2025-04-10 00:00:00,74042,1,0,,,2025-04-11 00:00:00,B1  ,7,3802512                       ,SEPARADOR BANGRAFICA CARTA DUPLEX 6 DIV      ,0,6,0,6,228,LIBRERÍA                                
P. Montt                 ,2025-04-10 00:00:00,74042,1,0,,,2025-04-11 00:00:00,B1  ,8,3802391                       ,SEPARADOR BANGRAFICA OFICIO BLANCO 6DIV      ,0,6,0,6,405,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,1,3815140                       ,PARKER  BOLIGRAFO IM PREMIUM BLANCO GT,0,1,0,1,17165,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,18,3813469                       ,PARKER BOLIGRAFO JOTTER ORIGINAL AZUL CT     ,0,6,0,6,4257,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,21,3813467                       ,PARKER BOLIGRAFO JOTTER ORIGINAL NEGRO CT    ,0,6,0,6,4257,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,22,3813472                       ,PARKER BOLIGRAFO JOTTER ORIGINAL ROJA CT     ,0,5,0,5,4257,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,23,3810795                       ,PARKER BOLIGRAFO JOTTER ROJO KENSIGTON CT    ,0,4,0,4,7220,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,34,3815146                       ,PARKER PLUMA IM RITUAL NARANJA GT,0,1,0,1,25135,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,35,3813466                       ,PARKER PLUMA JOTTER ORIGINAL NEGRO CT        ,0,4,0,4,6534,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,36,3810825                       ,PARKER PLUMA URBAN METALICO CT               ,0,1,0,1,18406,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,37,3810846                       ,"PARKER REPUESTO BOLIGRAFO AZUL FINO 0,5",0,12,0,12,2728,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,39,3810851                       ,PARKER REPUESTO BOLIGRAFO GEL NEGRO          ,0,12,0,12,2283,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,40,3810844                       ,"PARKER REPUESTO BOLIGRAFO NEGRO FINO 0,5     ",0,12,0,12,2728,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,41,3810842                       ,PARKER REPUESTO PLUMA CARTUCHO NEGROX5UND,0,12,0,12,2356,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,42,3813731                       ,"PARKER REPUESTO ROLLER BALL AZUL 0,5         ",0,12,0,12,2283,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,43,3813742                       ,"PARKER REPUESTO ROLLER BALL NEGRO 0,5        ",0,12,0,12,2283,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-18 00:00:00,B2  ,51,3815160                       ,MARCADOR SHARPIE PERMAN FINO HOLYDAY 30 COL,0,9,0,9,11671,LIBRERÍA                                
P. Arenas                ,2025-04-17 00:00:00,53768,1,0,76184070-3    ,NEWELL BRANDS DE CHILE LTDA.                                                    ,2025-04-17 00:00:00,B1  ,57,6003842                       ,MARCADOR SHARPIE PERMANENTE AZUL PUNTA FINA,0,24,0,24,570,LIBRERÍA                                
P. Arenas                ,2025-04-22 00:00:00,53777,1,0,7601012-9     ,FRANCISCO JAVIER RIVAS CONTRERAS                                                ,2025-04-23 00:00:00,B2  ,3,3813229                       ,CARPETA KORUS TAMAÑO CARTA                   ,0,1,0,1,6787,LIBRERÍA                                
P. Arenas                ,2025-04-22 00:00:00,53777,1,0,7601012-9     ,FRANCISCO JAVIER RIVAS CONTRERAS                                                ,2025-04-23 00:00:00,B2  ,12,3815178                       ,NECESER KOURUS DAMA CUERO NAT 9X18X8CM NC-04,0,2,0,2,8725,LIBRERÍA                                
P. Arenas                ,2025-04-22 00:00:00,53777,1,0,7601012-9     ,FRANCISCO JAVIER RIVAS CONTRERAS                                                ,2025-04-23 00:00:00,B2  ,13,3815179                       ,NECESER DE DAMA EN CUERO NATURAL  9 X 18 X 8,0,2,0,2,9818,LIBRERÍA                                
P. Arenas                ,2025-04-22 00:00:00,53777,1,0,7601012-9     ,FRANCISCO JAVIER RIVAS CONTRERAS                                                ,2025-04-23 00:00:00,B2  ,23,3815186                       ,BILLETERA KOURUS PORTACARNET MICA,0,3,2,1,5177,LIBRERÍA                                
P. Arenas                ,2025-04-22 00:00:00,53777,1,0,7601012-9     ,FRANCISCO JAVIER RIVAS CONTRERAS                                                ,2025-04-23 00:00:00,B2  ,26,3813239                       ,TARJETERO KOURUS BOLSILLO 6 TARJETAS CUERO N ,0,3,0,3,5975,LIBRERÍA                                
P. Arenas                ,2025-04-22 00:00:00,53777,1,0,7601012-9     ,FRANCISCO JAVIER RIVAS CONTRERAS                                                ,2025-04-23 00:00:00,B2  ,45,3815205                       ,BILLETERA KOURUS DAMA TARJETERA,0,2,1,1,17981,LIBRERÍA                                
P. Arenas                ,2025-04-22 00:00:00,53777,1,0,7601012-9     ,FRANCISCO JAVIER RIVAS CONTRERAS                                                ,2025-04-23 00:00:00,B2  ,49,3815209                       ,BILLETERA KOURUS CUERO GRASO DOBLE MICA,0,2,0,2,10329,LIBRERÍA                                
P. Arenas                ,2025-04-22 00:00:00,53777,1,0,7601012-9     ,FRANCISCO JAVIER RIVAS CONTRERAS                                                ,2025-04-23 00:00:00,B2  ,50,3815210                       ,BILLETERA KOURUS CUERO GRASO TARJETERO,0,2,0,2,11038,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,1,3815053                       ,ARCH OFFICE NUOVO OFICIO ANCHO AMARILLO,0,10,0,10,1280,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,2,3815054                       ,ARCH OFFICE NUOVO OFICIO ANCHO AZUL,0,10,0,10,1280,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,3,3815055                       ,ARCH OFFICE NUOVO OFICIO ANCHO FUCSIA,0,10,0,10,1280,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,4,3815056                       ,ARCH OFFICE NUOVO OFICIO ANCHO LILA,0,10,0,10,1280,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,5,3815057                       ,ARCH OFFICE NUOVO OFICIO ANCHO NARANJA,0,10,0,10,1280,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,6,3815060                       ,ARCH OFFICE NUOVO OFICIO ANCHO ROJO,0,10,0,10,1280,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,7,3815061                       ,ARCH OFFICE NUOVO OFICIO ANCHO VERDE PISTACHO,0,10,0,10,1280,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,8,3815062                       ,BLOCK REGISTRO EGRESO OFFICE NUOVO 50HJS,0,10,0,10,420,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,9,3815063                       ,BLOCK REGISTRO INGRESO OFFICE NUOVO 50HJS,0,10,0,10,420,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,10,3815064                       ,REVISTERO OFFICE NUOVO MIX COLORES,0,8,0,8,820,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,11,3815065                       ,REVISTERO OFFICE NUOVO ESCOCES,0,10,0,10,814,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,12,3815067                       ,PAPEL CALCO OFFICE NUOVO OFICIO NEGRO 100HJ,0,10,0,10,1639,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,13,3815068                       ,CARP OFFICE NUOVO CARTERA C/ELASTICO GRIS,0,10,0,10,492,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,14,3815069                       ,CARPETA OFFICE NUOVO  C/ELASTICO PASTEL,0,10,0,10,492,LIBRERÍA                                
LS - Barrio Industrial   ,2025-04-23 00:00:00,103767,1,0,77012870-6    ,COMERCIAL REDOFFICE LTDA (LA SER)                                               ,2025-04-24 00:00:00,B14,15,3815076                       ,CARPETA OFFICE NUOVO C/ELASTICO ROSA PASTEL,0,10,0,10,492,LIBRERÍA                                
