Ciudad,Fecha,Num. Nota,RUT,Razón Social,Canal,Fecha Entrega,Forma de Pago,Num. Ord .Compra,Tot. Neto,Item,Código,Descriptor,Cantidad,Cant. Desp.,Precio Unitario,Pendiente,Terminado,Marca,Línea,Sub Línea 1,Sub Línea 2,Clasificación,Cod. Vend. Cartera,Nombre Vendedor Cartera,Cod. Vendedor,Nombre Vendedor N/V
Distribución             ,2025-04-30 00:00:00,104650,69110500-8   ,I. MUNICIPALIDAD DE SAN CLEMENTE- EDUCACION       ,Chilecompra                   ,2025-04-30 00:00:00,Credito                                 ,4404-130-AG25                           ,1864781,28,7274123                       ,ESCOBILLA P/UÑAS ALONDRA                     ,2,1,7800,1,NO,ALONDRA                                 ,ASEO                                    ,CUIDADO PERSONAL                        ,OTROS FARMACIA                          ,F MAESTRA                               ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-05-08 00:00:00,104705,61602042-0   ,HOSPITAL SAN  FRANCISCO LLAY LLAY                 ,Chilecompra                   ,2025-05-08 00:00:00,Credito                                 ,1057374-261-AG25                        ,238997,19,6901018                       ,CORDEL PLASTICO EN OVILLO 80GR               ,2,0,19500,2,NO,SM                                      ,LIBRERÍA                                ,ESCOLAR Y MANUALIDADES                  ,MANUALIDADES ESCOLARES                  ,F MAESTRA                               ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-05-20 00:00:00,104797,69060700-K_3 ,I.MUNICIPALIDAD DE QUINTERO-SALUD                 ,Chilecompra                   ,2025-05-20 00:00:00,Credito                                 ,640840-80-AG25                          ,3153641,23,3813930                       ,LIBRO ACTA AUCA COMPOSICION 400HJ,15,13,7721,2,NO,AUCA                                    ,LIBRERÍA                                ,APUNTES Y REGISTRO                      ,LIBROS CONTABLES Y OFICINA              ,QUIEBRE-C                               ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-05-20 00:00:00,104797,69060700-K_3 ,I.MUNICIPALIDAD DE QUINTERO-SALUD                 ,Chilecompra                   ,2025-05-20 00:00:00,Credito                                 ,640840-80-AG25                          ,3153641,12,3813188                       ,"APRETADOR SELLOFFICE 25MM 1.0"" CJ 12UND",600,587,465,13,NO,SELLOFFICE                              ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,CLIP APRETADORES Y OTROS                ,STOCK                                   ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-05-20 00:00:00,104797,69060700-K_3 ,I.MUNICIPALIDAD DE QUINTERO-SALUD                 ,Chilecompra                   ,2025-05-20 00:00:00,Credito                                 ,640840-80-AG25                          ,3153641,14,3813205                       ,FUNDA SELLOFFICE CARTA BORDE BLANCO PQ 100UND,30,5,2107,25,NO,SELLOFFICE                              ,LIBRERÍA                                ,ARCHIVOS Y ALMACENAMIENTO               ,FUNDAS                                  ,QUIEBRE-L                               ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-05-20 00:00:00,104797,69060700-K_3 ,I.MUNICIPALIDAD DE QUINTERO-SALUD                 ,Chilecompra                   ,2025-05-20 00:00:00,Credito                                 ,640840-80-AG25                          ,3153641,35,3808665                       ,PUSH PIN ADIX REDONDO CHICO 100UND           ,100,62,446,38,NO,ADIX                                    ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,VARIOS                                  ,STOCK                                   ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-05-26 00:00:00,104852,61004051-9_1 ,DIRECCION REGIONAL DE GENDARMERIA - TALCA         ,Chilecompra                   ,2025-05-26 00:00:00,Credito                                 ,1391-871-AG25                           ,366989,22,7771433                       ,AGENDA ISOFIT EJECUTIVA CLASICA DXP NEGRO,2,0,5799,2,NO,ISOFIT                                  ,LIBRERÍA                                ,APUNTES Y REGISTRO                      ,AGENDAS Y LIBRETAS TIPO AGENDA          ,DE SALIDA                               ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-06-03 00:00:00,104926,69160300-8_3 ,I. MUNICIPALIDAD DE LEBU                          ,Chilecompra                   ,2025-06-03 00:00:00,Credito                                 ,4189-186-COT25                          ,238843,15,1300432                       ,PALA VIRUTEX C/ MANGO METALICO,1,0,1876,1,NO,VIRUTEX                                 ,ASEO                                    ,ACCESORIOS DE LIMPIEZA                  ,ESCOBILLONES Y PALAS                    ,QUIEBRE-L                               ,PFA                           ,Pamela Fuentealba                            ,PFA                           ,Pamela Fuentealba                            
Distribución             ,2025-06-03 00:00:00,104926,69160300-8_3 ,I. MUNICIPALIDAD DE LEBU                          ,Chilecompra                   ,2025-06-03 00:00:00,Credito                                 ,4189-186-COT25                          ,238843,5,1301436                       ,LIMPIADOR DE PISO IMPEKE LAVANDA 900ML       ,20,0,767,20,NO,IMPEKE                                  ,ASEO                                    ,LIMPIEZA SUPERFICIES Y CLORO            ,LIMPIADORES DE PISO                     ,STOCK                                   ,PFA                           ,Pamela Fuentealba                            ,PFA                           ,Pamela Fuentealba                            
Distribución             ,2025-06-06 00:00:00,104955,60901019-3   ,DEPARTAMENTO PROVINCIAL DE EDUCACION              ,Chilecompra                   ,2025-06-06 00:00:00,Credito                                 ,2033-21-AG25                            ,1541426,36,3813154                       ,BOLIGRAFO GEL TORRE QUICK DRY 0.7MM ROJO,200,191,483,9,NO,TORRE                                   ,LIBRERÍA                                ,MARCADORES LÁPICES Y OTROS              ,BOLÍGRAFO TINTA GEL                     ,STOCK                                   ,,,,
Distribución             ,2025-06-06 00:00:00,104955,60901019-3   ,DEPARTAMENTO PROVINCIAL DE EDUCACION              ,Chilecompra                   ,2025-06-06 00:00:00,Credito                                 ,2033-21-AG25                            ,1541426,10,3815005                       ,CINTA ADHESIVA JM 18X30MM CRISTAL,10,0,132,10,NO,JM                                      ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,CINTAS ADHESIVAS Y EMBALAJE             ,STOCK                                   ,,,,
Distribución             ,2025-06-06 00:00:00,104956,60301001-9_13,CORPORACION ADMINISTRATIVA DEL PODER JUDICIAL     ,Chilecompra                   ,2025-06-06 00:00:00,Credito                                 ,701433-16-AG25                          ,323589,3,1301140                       ,TOALLA DE PAPEL TECNOPAPEL INTERF D/H 200UN,54,36,1090,18,NO,TECNOPAPEL                              ,ASEO                                    ,PAPELES HIGIENICOS Y TOALLAS            ,TOALLAS DE PAPEL INSTITUCIONAL          ,STOCK                                   ,PFA                           ,Pamela Fuentealba                            ,PFA                           ,Pamela Fuentealba                            
Distribución             ,2025-06-09 00:00:00,104960,60511131-9   ,DELEGACIÓN PRESIDENCIAL PROVINCIAL DE CORDILLERA  ,Chilecompra                   ,2025-06-09 00:00:00,Credito                                 ,1516-138-AG25                           ,500868,14,3813187                       ,"APRETADOR SELLOFFICE 19MM 3/4"" CJ 12UND",12,1,237,11,NO,SELLOFFICE                              ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,CLIP APRETADORES Y OTROS                ,STOCK                                   ,THC                           ,Trinidad Hermosilla Covarrubias              ,THC                           ,Trinidad Hermosilla Covarrubias              
Distribución             ,2025-06-09 00:00:00,104961,69061200-3   ,I. MUNICIPALIDAD DE OLMUE                         ,Chilecompra                   ,2025-06-09 00:00:00,Credito                                 ,3333-219-AG25                           ,3553496,27,3813187                       ,"APRETADOR SELLOFFICE 19MM 3/4"" CJ 12UND",15,0,239,15,NO,SELLOFFICE                              ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,CLIP APRETADORES Y OTROS                ,STOCK                                   ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-06-09 00:00:00,104961,69061200-3   ,I. MUNICIPALIDAD DE OLMUE                         ,Chilecompra                   ,2025-06-09 00:00:00,Credito                                 ,3333-219-AG25                           ,3553496,18,3815005                       ,CINTA ADHESIVA JM 18X30MM CRISTAL,30,0,132,30,NO,JM                                      ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,CINTAS ADHESIVAS Y EMBALAJE             ,STOCK                                   ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-06-09 00:00:00,104961,69061200-3   ,I. MUNICIPALIDAD DE OLMUE                         ,Chilecompra                   ,2025-06-09 00:00:00,Credito                                 ,3333-219-AG25                           ,3553496,22,3813161                       ,LAPIZ BOLIGRAFO TORRE NEGRO 1.0 MM           ,48,0,100,48,NO,TORRE                                   ,LIBRERÍA                                ,MARCADORES LÁPICES Y OTROS              ,BOLÍGRAFO PASTA                         ,STOCK                                   ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-06-09 00:00:00,104961,69061200-3   ,I. MUNICIPALIDAD DE OLMUE                         ,Chilecompra                   ,2025-06-09 00:00:00,Credito                                 ,3333-219-AG25                           ,3553496,31,2221258                       ,CLIP TORRE 50MM N°50 TEXTURADO               ,50,0,742,50,NO,TORRE                                   ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,CLIP APRETADORES Y OTROS                ,STOCK                                   ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-06-09 00:00:00,104961,69061200-3   ,I. MUNICIPALIDAD DE OLMUE                         ,Chilecompra                   ,2025-06-09 00:00:00,Credito                                 ,3333-219-AG25                           ,3553496,12,3814174                       ,CARPETA CARTULINA AZUL,500,407,130,93,NO,OFFICE NUOVO                            ,LIBRERÍA                                ,ARCHIVOS Y ALMACENAMIENTO               ,CARPETAS                                ,STOCK                                   ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-06-09 00:00:00,104961,69061200-3   ,I. MUNICIPALIDAD DE OLMUE                         ,Chilecompra                   ,2025-06-09 00:00:00,Credito                                 ,3333-219-AG25                           ,3553496,54,3814054                       ,"REVISTERO TORRE AZUL 30,7X25X10,5CM",10,9,3045,1,NO,TORRE                                   ,LIBRERÍA                                ,ARCHIVOS Y ALMACENAMIENTO               ,CAJAS ARCHIVO                           ,STOCK                                   ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-06-10 00:00:00,104969,62000890-7_10,SERV. NAC. DE PROT. ESPECI. A LA NIÑEZ            ,Chilecompra                   ,2025-06-10 00:00:00,Credito                                 ,1208102-25-AG25                         ,273865,11,3815479                       ,100 MARCADORES DE DOBLE PUNTA TIPO PINCEL COL,2,0,15500,2,NO,S/M                                     ,LIBRERÍA                                ,MARCADORES LÁPICES Y OTROS              ,PLUMONES Y MARCADORES                   ,F MAESTRA                               ,FQU                           ,Fernanda Quiroga                             ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-06-10 00:00:00,104969,62000890-7_10,SERV. NAC. DE PROT. ESPECI. A LA NIÑEZ            ,Chilecompra                   ,2025-06-10 00:00:00,Credito                                 ,1208102-25-AG25                         ,273865,12,3815480                       ,72 LAPICES DE COLORES ARTE DIBUJO COLOR VIBRA,3,0,17800,3,NO,S/M                                     ,LIBRERÍA                                ,MARCADORES LÁPICES Y OTROS              ,PLUMONES Y MARCADORES                   ,F MAESTRA                               ,FQU                           ,Fernanda Quiroga                             ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-06-10 00:00:00,104979,69030600-K_1 ,I. MUNICIPALIDAD DE FREIRINA  ABASTECIMIENTO      ,Chilecompra                   ,2025-06-10 00:00:00,Credito                                 ,4357-254-AG25                           ,109313,1,1301116                       ,DISPENSADOR ELITE TOALLA PALANCA BLANCO      ,2,0,51542,2,NO,ELITE                                   ,ASEO                                    ,DISPENSADORES                           ,DISPENSADOR DE TOALLA                   ,A PEDIDO                                ,SOF                           ,Sofía Benavides                              ,KTA                           ,Katherine Albrecht                           
Distribución             ,2025-06-10 00:00:00,104979,69030600-K_1 ,I. MUNICIPALIDAD DE FREIRINA  ABASTECIMIENTO      ,Chilecompra                   ,2025-06-10 00:00:00,Credito                                 ,4357-254-AG25                           ,109313,2,1301503                       ,DISPENSADOR JABON TECNOPAPEL 500CC,1,0,6229,1,NO,TECNOPAPEL                              ,ASEO                                    ,DISPENSADORES                           ,DISPENSADOR DE JABÓN                    ,A PEDIDO                                ,SOF                           ,Sofía Benavides                              ,KTA                           ,Katherine Albrecht                           
Distribución             ,2025-06-12 00:00:00,105003,61933800-6_1 ,DIRECCION REGIONAL DE GENDARMERIA METROPOLITANA   ,Chilecompra                   ,2025-06-12 00:00:00,Credito                                 ,1411-1642-AG25                          ,399816,16,3815497                       ,CINTA BROTHER ROTULADORA  PT-90,1,0,13500,1,NO,BROTHER                                 ,LIBRERÍA                                ,EQUIPOS DE OFICINA E INSUMOS            ,ETIQUETADORAS Y ROTULADORAS             ,COMPRA LOC                              ,MFH                           ,María Francisca Hernandez                    ,MFH                           ,María Francisca Hernandez                    
Distribución             ,2025-06-13 00:00:00,105006,70834500-8_1 ,MUNICIPALIDAD DE COLBUN DEPTO. EDUCACION          ,Chilecompra                   ,2025-06-13 00:00:00,Credito                                 ,4171-411-AG25                           ,238109,2,5350260                       ,GLOBOS LISOS LATEX SUR. R9 23 CMS X50 UN.,10,0,3155,10,NO,S/M                                     ,LIBRERÍA                                ,ESCOLAR Y MANUALIDADES                  ,MANUALIDADES ESCOLARES                  ,F MAESTRA                               ,KMO                           ,Katherine Moya                               ,KPU                           ,Kaina Puebla                                 
Distribución             ,2025-06-16 00:00:00,105030,70937200-9   ,CORPORACION MUNICIPAL DE ISLA DE MAIPO            ,Chilecompra                   ,2025-06-16 00:00:00,Credito                                 ,578459-501-AG25                         ,2219902,4,3815005                       ,CINTA ADHESIVA JM 18X30MM CRISTAL,50,0,132,50,NO,JM                                      ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,CINTAS ADHESIVAS Y EMBALAJE             ,STOCK                                   ,THC                           ,Trinidad Hermosilla Covarrubias              ,THC                           ,Trinidad Hermosilla Covarrubias              
Distribución             ,2025-06-16 00:00:00,105030,70937200-9   ,CORPORACION MUNICIPAL DE ISLA DE MAIPO            ,Chilecompra                   ,2025-06-16 00:00:00,Credito                                 ,578459-501-AG25                         ,2219902,17,3814564                       ,LA.BO JM NEGRO P/GRUESA,100,28,83,72,NO,JM                                      ,LIBRERÍA                                ,MARCADORES LÁPICES Y OTROS              ,BOLÍGRAFO PASTA                         ,STOCK                                   ,THC                           ,Trinidad Hermosilla Covarrubias              ,THC                           ,Trinidad Hermosilla Covarrubias              
Distribución             ,2025-06-16 00:00:00,105030,70937200-9   ,CORPORACION MUNICIPAL DE ISLA DE MAIPO            ,Chilecompra                   ,2025-06-16 00:00:00,Credito                                 ,578459-501-AG25                         ,2219902,12,3814755                       ,TIRITAS P/VISOR TORRE 250UN COLORES SURTIDOS,1,0,710,1,NO,TORRE                                   ,LIBRERÍA                                ,ARCHIVOS Y ALMACENAMIENTO               ,VISOR Y PORTALEYENDA                    ,QUIEBRE-C                               ,THC                           ,Trinidad Hermosilla Covarrubias              ,THC                           ,Trinidad Hermosilla Covarrubias              
Distribución             ,2025-06-16 00:00:00,105032,70885500-6   ,UNIVERSIDAD DE TALCA                              ,Chilecompra                   ,2025-06-16 00:00:00,Credito                                 ,1469-1550-AG25                          ,253520,7,3813205                       ,FUNDA SELLOFFICE CARTA BORDE BLANCO PQ 100UND,1,0,2107,1,NO,SELLOFFICE                              ,LIBRERÍA                                ,ARCHIVOS Y ALMACENAMIENTO               ,FUNDAS                                  ,QUIEBRE-L                               ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-16 00:00:00,105032,70885500-6   ,UNIVERSIDAD DE TALCA                              ,Chilecompra                   ,2025-06-16 00:00:00,Credito                                 ,1469-1550-AG25                          ,253520,37,3005242                       ,PEG. LA GOTITA 2ML                           ,2,0,5000,2,NO,SM                                      ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,OTROS ADHESIVOS                         ,                                        ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-16 00:00:00,105032,70885500-6   ,UNIVERSIDAD DE TALCA                              ,Chilecompra                   ,2025-06-16 00:00:00,Credito                                 ,1469-1550-AG25                          ,253520,8,3813154                       ,BOLIGRAFO GEL TORRE QUICK DRY 0.7MM ROJO,4,0,546,4,NO,TORRE                                   ,LIBRERÍA                                ,MARCADORES LÁPICES Y OTROS              ,BOLÍGRAFO TINTA GEL                     ,STOCK                                   ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-17 00:00:00,105039,69091000-4   ,I. MUNICIPALIDAD DE PALMILLA                      ,Chilecompra                   ,2025-06-17 00:00:00,Credito                                 ,4142-63-AG25                            ,752715,30,7290522                       ,PILA LITIO ER14250 1/2 AA 1200MAH 3.6V,6,0,7160,6,NO,S/M                                     ,LIBRERÍA                                ,PILAS Y CARGADORES                      ,PILAS                                   ,                                        ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-17 00:00:00,105039,69091000-4   ,I. MUNICIPALIDAD DE PALMILLA                      ,Chilecompra                   ,2025-06-17 00:00:00,Credito                                 ,4142-63-AG25                            ,752715,15,3815005                       ,CINTA ADHESIVA JM 18X30MM CRISTAL,100,0,132,100,NO,JM                                      ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,CINTAS ADHESIVAS Y EMBALAJE             ,STOCK                                   ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-17 00:00:00,105039,69091000-4   ,I. MUNICIPALIDAD DE PALMILLA                      ,Chilecompra                   ,2025-06-17 00:00:00,Credito                                 ,4142-63-AG25                            ,752715,31,3815510                       ,PILA PANASONIC LITIO CR2450,10,0,2700,10,NO,PANASONIC                               ,LIBRERÍA                                ,PILAS Y CARGADORES                      ,PILAS                                   ,                                        ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-17 00:00:00,105040,69100400-7   ,I. MUNICIPALIDAD DE  RAUCO - DEPTO. SALUD         ,Chilecompra                   ,2025-06-17 00:00:00,Credito                                 ,3874-155-AG25                           ,1694975,26,3815511                       ,SHAMPOO PARA AUTO 1 LIT,10,0,7700,10,NO,S/M                                     ,ASEO                                    ,LIMPIEZA SUPERFICIES Y CLORO            ,AUTOMÓVIL                               ,                                        ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-17 00:00:00,105040,69100400-7   ,I. MUNICIPALIDAD DE  RAUCO - DEPTO. SALUD         ,Chilecompra                   ,2025-06-17 00:00:00,Credito                                 ,3874-155-AG25                           ,1694975,27,3815512                       ,AMPOLLETA LED 25 WATTS,20,0,4000,20,NO,S/M                                     ,ASEO                                    ,DESECHABLES                             ,MENAJE DESECHABLE                       ,                                        ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-17 00:00:00,105040,69100400-7   ,I. MUNICIPALIDAD DE  RAUCO - DEPTO. SALUD         ,Chilecompra                   ,2025-06-17 00:00:00,Credito                                 ,3874-155-AG25                           ,1694975,12,1301479                       ,DETERGENTE OMO MATIC POLVO BOLSA 400G,80,0,1036,80,NO,OMO                                     ,ASEO                                    ,"DETERGENTES, BLANQUEADORES Y SUAVIZANTES",DETERGENTE EN POLVO                     ,A PEDIDO                                ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-18 00:00:00,105044,69050600-9   ,I. MUNICIPALIDAD DE SAN FELIPE                    ,Chilecompra                   ,2025-06-18 00:00:00,Credito                                 ,2737-360-AG25                           ,331941,11,6541026                       ,CARTRIDGE HP N°954 L0S53AL MAGENTA 700 PÁG.,2,0,39400,2,NO,HP                                      ,SUMINISTROS COMPUTACIONALES             ,CARTRIDGE                               ,TINTA                                   ,DE SALIDA                               ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-06-18 00:00:00,105045,69050600-9   ,I. MUNICIPALIDAD DE SAN FELIPE                    ,Chilecompra                   ,2025-06-18 00:00:00,Credito                                 ,2737-360-AG25                           ,352418,26,3815506                       ,NOTA ADHESIVA POST IT Y LÁPIZ,20,0,3400,20,NO,S/M                                     ,LIBRERÍA                                ,APUNTES Y REGISTRO                      ,NOTAS ADHESIVAS Y BANDERITAS            ,                                        ,FQU                           ,Fernanda Quiroga                             ,FQU                           ,Fernanda Quiroga                             
Distribución             ,2025-06-24 00:00:00,105083,69080200-7   ,I. MUNICIPALIDAD DE MACHALI ADQ. MUNICIPAL        ,Chilecompra                   ,2025-06-24 00:00:00,Credito                                 ,3181-278-AG25                           ,381853,16,3813205                       ,FUNDA SELLOFFICE CARTA BORDE BLANCO PQ 100UND,1,0,2107,1,NO,SELLOFFICE                              ,LIBRERÍA                                ,ARCHIVOS Y ALMACENAMIENTO               ,FUNDAS                                  ,QUIEBRE-L                               ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-24 00:00:00,105083,69080200-7   ,I. MUNICIPALIDAD DE MACHALI ADQ. MUNICIPAL        ,Chilecompra                   ,2025-06-24 00:00:00,Credito                                 ,3181-278-AG25                           ,381853,21,3815524                       ,LANA 10 OVILLOS SET DIF COLORES,3,0,10800,3,NO,S/M                                     ,LIBRERÍA                                ,ESCOLAR Y MANUALIDADES                  ,MANUALIDADES ESCOLARES                  ,                                        ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
Distribución             ,2025-06-24 00:00:00,105083,69080200-7   ,I. MUNICIPALIDAD DE MACHALI ADQ. MUNICIPAL        ,Chilecompra                   ,2025-06-24 00:00:00,Credito                                 ,3181-278-AG25                           ,381853,5,3808665                       ,PUSH PIN ADIX REDONDO CHICO 100UND           ,4,0,505,4,NO,ADIX                                    ,LIBRERÍA                                ,OFICINA Y ESCRITORIO                    ,VARIOS                                  ,STOCK                                   ,KMO                           ,Katherine Moya                               ,KMO                           ,Katherine Moya                               
